"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate","createdby"
"Berhampur","BP-BAM-2022-06-16-004767","BPA1","2022-06-16","2022-06-16","APPROVED","BP/BAM/000303","2022-07-02","f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Bhubaneswar","BP-BMC-2022-04-27-002939","BPA1","2022-04-27","2022-04-27","APPROVED","BP/BMC/000298","2022-06-30","db2c708e-b12b-49c0-9b88-71f5dfe5f00c"
"Bhubaneswar","BP-BMC-2022-05-20-003792","BPA2","2022-05-20","2022-06-01","APPROVED","BP/BMC/000470","2022-07-28","bb616f61-df6a-4595-be55-7386098a69c6"
"Bhubaneswar","BP-BMC-2022-02-25-001177","BPA1","2022-02-25","2022-03-07","PENDING_SANC_FEE_PAYMENT",NULL,NULL,"3bb72028-ecec-4a2d-91ea-ea47654098d8"
"Berhampur","BP-BAM-2022-05-03-003134","BPA1","2022-05-03","2022-06-29","APPROVAL_INPROGRESS",NULL,NULL,"f1a434a0-8a91-4e6f-95f1-699260b1a554"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-31-002064","BPA3","2022-03-31","2022-05-19","FIELDINSPECTION_INPROGRESS",NULL,NULL,"a3592dd9-525e-46f2-9cf8-4b7dd3a9e187"
"Berhampur","BP-BAM-2022-07-02-005641","BPA1","2022-07-02",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL,"ae7f16b9-0b5f-47be-a684-d9c2ce512103"
"Cuttack","BP-CTC-2022-06-29-005555","BPA1","2022-06-29","2022-07-02","APPROVED","BP/CTC/000440","2022-07-25","c1004bbb-8c3f-459b-8e6d-776f21e0a361"
"Bhubaneswar","BP-BMC-2022-07-06-005840","BPA1","2022-07-06","2022-07-07","FIELDINSPECTION_INPROGRESS",NULL,NULL,"a5568cc5-e1af-4448-877d-4e9d8352e187"
"Bhubaneswar","BP-BMC-2022-07-25-006544","BPA1","2022-07-25","2022-07-25","FIELDINSPECTION_INPROGRESS",NULL,NULL,"e13743a8-fbc1-4096-8727-6f9ac70c060b"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003581","BPA1","2022-05-13","2022-05-14","APPROVAL_INPROGRESS",NULL,NULL,"de3477e2-6c7d-49a3-b10c-80ee9660d27a"
"Sambalpur","BP-SMB-2022-04-25-002844","BPA1","2022-04-25","2022-07-26","PENDING_SANC_FEE_PAYMENT",NULL,NULL,"b9c359e4-5660-403b-933f-60d2da002ad3"
"Berhampur","BP-BAM-2022-06-18-004836","BPA1","2022-06-18","2022-06-22","APPROVED","BP/BAM/000302","2022-07-02","9c00d59a-d3ef-4671-9885-24d549d99639"
"Berhampur","BP-BAM-2022-06-29-005560","BPA1","2022-06-29","2022-07-01","APPROVED","BP/BAM/000335","2022-07-10","9c00d59a-d3ef-4671-9885-24d549d99639"
"Cuttack","BP-CTC-2022-07-07-005899","BPA1","2022-07-07","2022-07-07","APPROVAL_INPROGRESS",NULL,NULL,"8cfc0d3f-fe1c-4e29-b551-aa166e33a7ed"
"Berhampur","BP-BAM-2022-06-16-004732","BPA1","2022-06-16","2022-06-16","APPROVED","BP/BAM/000341","2022-07-11","9c00d59a-d3ef-4671-9885-24d549d99639"
"Khordha","BP-KHU-2022-07-12-006034","BPA2","2022-07-12","2022-07-21","DOC_VERIFICATION_INPROGRESS",NULL,NULL,"d29f71e6-4b6c-49e2-8451-561fa43bf4fe"
"Bhubaneswar","BP-BMC-2022-03-08-001499","BPA3","2022-03-08","2022-04-22","APP_L2_VERIFICATION_INPROGRESS",NULL,NULL,"c10d2c1f-1184-4542-8f67-fc514a890047"
"Bhubaneswar","BP-BMC-2022-07-13-006062","BPA1","2022-07-13",NULL,"INITIATED",NULL,NULL,"7ac2082c-09be-46cd-9fc2-24b7ba6baa1e"
"Bhubaneswar","BP-BMC-2022-07-13-006064","BPA1","2022-07-13",NULL,"INITIATED",NULL,NULL,"7ac2082c-09be-46cd-9fc2-24b7ba6baa1e"
"Bhubaneswar","BP-BMC-2022-07-13-006060","BPA1","2022-07-13",NULL,"INITIATED",NULL,NULL,"7ac2082c-09be-46cd-9fc2-24b7ba6baa1e"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-04-21-002705","BPA1","2022-04-21","2022-04-23","APPROVED","BP/BDA/000354","2022-07-13","62df8f7e-4d34-4471-b7f6-bafa77f0ecc6"
"Berhampur","BP-BAM-2022-07-04-005689","BPA1","2022-07-04","2022-07-04","APPROVAL_INPROGRESS",NULL,NULL,"afacb7a2-1679-4062-b62d-16794c77dae2"
"Chatrapur","BP-CHH-2022-07-27-006611","BPA1","2022-07-27","2022-07-29","DOC_VERIFICATION_INPROGRESS",NULL,NULL,"9c00d59a-d3ef-4671-9885-24d549d99639"
"Rourkela","BP-RRK-2022-07-10-005974","BPA1","2022-07-10","2022-07-19","FIELDINSPECTION_INPROGRESS",NULL,NULL,"cbf66c9d-c8c3-4ba3-b77d-791ceadae440"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-02-001311","BPA1","2022-03-02","2022-03-04","PENDING_ARCHITECT_ACTION_FOR_REWORK",NULL,NULL,"0ab33c0f-8b61-47c1-8ac0-72087784baef"
"Berhampurdevelopmentauthority","BP-BED-2022-07-27-006606","BPA1","2022-07-27","2022-07-29","FIELDINSPECTION_INPROGRESS",NULL,NULL,"9c00d59a-d3ef-4671-9885-24d549d99639"
"Berhampur","BP-BAM-2022-06-14-004704","BPA1","2022-06-14","2022-06-14","PENDING_SANC_FEE_PAYMENT",NULL,NULL,"ae7f16b9-0b5f-47be-a684-d9c2ce512103"
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-02-003118","BPA1","2022-05-02","2022-05-05","APPROVED","BP/BDA/000392",NULL,"de178475-81e8-4ce7-8761-83675ebb357e"
