"id","filestoreid","filename","contenttype","version","createddate"
3727,"98c2b456-070a-4c25-9474-f25ec903dc66","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:38.077"
3728,"bacd9ed5-510f-4329-a792-b3071897f98f","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:38.129"
3729,"5b913926-1af1-4ef6-ba7a-c314bb269f85","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:37.155"
3730,"e5b3d58f-25f0-4f10-9bde-bb8a2d4d0b04","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:38.46"
3731,"8c6916d6-7f1a-4bc7-8612-9cba568bd828","plandetail.txt","text/plain",0,"2021-02-01 20:34:37.698"
3732,"ca14f9fe-cc79-4d61-8ebb-778b750af992","01005-2021-HF-v1.pdf","application/pdf",0,"2021-02-01 20:34:37.665"
3733,"41369f61-18e7-4e39-b40f-0730efea0b84","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:37.834"
3734,"cdfd3da3-98e3-470a-95a4-d446aabbfb6e","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:37.225"
3735,"cd9fa7ae-cae4-43ef-9a38-0ecf6f60e737","plandetail.txt","text/plain",0,"2021-02-01 20:35:39.138"
3736,"2bfefa17-c6e0-42d7-a3d5-0085e02c1ff8","01006-2021-NR-v1.pdf","application/pdf",0,"2021-02-01 20:35:39.098"
3737,"d5e7dd1c-b6f5-4206-bf94-2e845a16beb1","plandetail.txt","text/plain",0,"2021-02-01 20:35:39.235"
3738,"6600eaee-f31d-411a-ae56-0ba96ec48c13","01007-2021-MU-v1.pdf","application/pdf",0,"2021-02-01 20:35:39.191"
3739,"b6cd5c5b-42a6-46ac-af6e-0ad0305923af","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:35:39.298"
3740,"52404a46-2335-4b8c-ba42-c1ebe0e37f03","plandetail.txt","text/plain",0,"2021-02-01 20:34:38.21"
3741,"0e47fa7f-062c-49a1-b2be-59adde3c2cd1","01008-2021-OX-v1.pdf","application/pdf",0,"2021-02-01 20:34:38.17"
3742,"1af1e4ba-4dd7-47a4-9a65-25c85e9c4a7c","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:38.364"
3743,"506ab41f-75d1-4eed-9c51-1d37a6ef4455","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:38.578"
3744,"c843cb25-b429-441b-8f2e-74767c635497","plandetail.txt","text/plain",0,"2021-02-01 20:34:38.446"
3745,"af4e8848-c508-492b-ad0c-5e260467037a","01009-2021-BW-v1.pdf","application/pdf",0,"2021-02-01 20:34:38.421"
3746,"913387ba-243b-49e5-89a3-6128bee6f369","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:35:39.567"
3747,"c7f06dcc-7b0e-434d-97bb-713d645ed106","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:38.56"
3748,"6bae299b-594a-4d1e-a952-5d81b432beaf","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:38.624"
3749,"47b7b603-36ce-4349-a4ea-e743d3f947ce","Criteria 1.dxf","application/octet-stream",0,"2021-02-01 20:34:38.634"
3750,"ba50ec31-aa0c-4bfa-8fd0-677ee9a983c7","plandetail.txt","text/plain",0,"2021-02-01 20:34:38.864"
3751,"1131a975-5007-4a38-bacc-aa9098414c7d","01010-2021-KX-v1.pdf","application/pdf",0,"2021-02-01 20:34:38.836"
3752,"5caa7310-b0f5-4c3d-8430-ed483950affb","Criteria 1_system_scrutinized.dxf","application/octet-stream",0,"2021-02-01 20:34:38.995"
3753,"d7f99afd-daea-42a2-89ad-958cd823a93b","plandetail.txt","text/plain",0,"2021-02-01 20:35:40.106"
3754,"fa5be1b1-7708-473f-8b34-e5835395ef8a","01011-2021-GZ-v1.pdf","application/pdf",0,"2021-02-01 20:35:40.079"
