"ulb","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"Cuttack","BP-CTC-2022-06-01-003976","BPA1","2022-06-01","2022-06-02","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-02-002128","BPA1","2022-04-02","2022-04-04","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-05-005771","BPA2","2022-07-05",NULL,"INITIATED",NULL,NULL
"Sambalpur","BP-SMB-2022-05-03-003147","BPA1","2022-05-03","2022-05-05","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-19-003736","BPA1","2022-05-19","2022-05-19","APPROVAL_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-23-005027","BPA2","2022-06-23","2022-06-23","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-07-11-006009","BPA1","2022-07-11","2022-07-11","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-02-14-000860","BPA1","2022-02-14","2022-02-14","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-05-18-003681","BPA1","2022-05-18","2022-05-20","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-09-000765","BPA1","2022-02-09","2022-02-14","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"Bhubaneswar","BP-BMC-2022-02-10-000790","BPA1","2022-02-10","2022-02-14","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-03-23-001897","BPA1","2022-03-23",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswardevelopmentauthority","BP-BDA-2022-05-13-003584","BPA1","2022-05-13","2022-05-13","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-13-004683","BPA1","2022-06-13","2022-06-28","CITIZEN_ACTION_PENDING_AT_APPROVAL",NULL,NULL
"Rourkela","BP-RRK-2022-01-22-000511","BPA1","2022-01-22","2022-01-22","APPROVED","BP/RRK/000045","2022-02-16"
"Berhampur","BP-BAM-2022-01-17-000392","BPA1","2022-01-17","2022-01-21","APPROVED","BP/BAM/000055","2022-03-03"
"Bhubaneswar","BP-BMC-2022-02-09-000772","BPA1","2022-02-09","2022-02-17","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-26-001967","BPA1","2022-03-26","2022-04-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Sambalpur","BP-SMB-2022-06-03-004192","BPA1","2022-06-03","2022-06-03","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Berhampur","BP-BAM-2022-03-06-001433","BPA1","2022-03-06",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-06-11-004612","BPA1","2022-06-11","2022-07-13","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-03-02-001290","BPA1","2022-03-02","2022-03-03","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-06-002281","BPA2","2022-04-06","2022-04-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Cuttack","BP-CTC-2022-05-13-003558","BPA1","2022-05-13",NULL,"INITIATED",NULL,NULL
"Berhampur","BP-BAM-2022-04-11-002437","BPA1","2022-04-11",NULL,"INITIATED",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-07-002322","BPA1","2022-04-07","2022-04-08","FIELDINSPECTION_INPROGRESS",NULL,NULL
"Bhubaneswar","BP-BMC-2022-04-23-002801","BPA1","2022-04-23",NULL,"INITIATED",NULL,NULL
